name,vicinity,types,latitude,longitude
천명꼬치구이,South Korea,"['restaurant', 'food', 'point_of_interest', 'establishment']",37.5395869,127.0641683
아바이아매장국집,"2호, 12-3번지 Jayang-dong, Gwangjin-gu","['restaurant', 'food', 'point_of_interest', 'establishment']",37.5395869,127.0641683
어뤄쓰따촬,"1호, 12-3번지 Jayang-dong, Gwangjin-gu","['restaurant', 'food', 'point_of_interest', 'establishment']",37.5395869,127.0641683
북경챈청소고기전병,"12-5 Jayang-dong, 번지 1층, Gwangjin-gu","['restaurant', 'food', 'point_of_interest', 'establishment']",37.5396273,127.0640388
진주식당,자양동 12-5번지 1층 광진구 서울특별시 KR,"['restaurant', 'food', 'point_of_interest', 'establishment']",37.5396273,127.0640388
봉자마라탕,"22 Dongil-ro 18-gil, Jayang-dong, Gwangjin-gu","['restaurant', 'food', 'point_of_interest', 'establishment']",37.5396273,127.0640388
순평쌀국수,"12-24 Jayang-dong, 번지 1층, Gwangjin-gu","['restaurant', 'food', 'point_of_interest', 'establishment']",37.5395323,127.0643297
연길양꼬치구이,"12-24번지 Jayang-dong, Gwangjin-gu","['restaurant', 'food', 'point_of_interest', 'establishment']",37.5395323,127.0643297
삼삼식당,자양동 12-24번지 1층 광진구 서울특별시 KR,"['restaurant', 'food', 'point_of_interest', 'establishment']",37.5395323,127.0643297
김사부계서도삭면,"1층, 12-24번지 Jayang-dong, Gwangjin-gu","['restaurant', 'food', 'point_of_interest', 'establishment']",37.5395323,127.0643297
광장인력,자양동 12-24번지 2층 광진구 서울특별시 KR,"['restaurant', 'food', 'point_of_interest', 'establishment']",37.5395323,127.0643297
오두막양꼬치,"16-37 Jayang-dong, 번지 1층, Gwangjin-gu","['restaurant', 'food', 'point_of_interest', 'establishment']",37.5397367,127.0643169
몽다래향라관,자양동 16-37번지 2층 광진구 서울특별시 KR,"['restaurant', 'food', 'point_of_interest', 'establishment']",37.5397367,127.0643169
작은양꼬치,자양동 16-37번지 광진구 서울특별시 KR,"['restaurant', 'food', 'point_of_interest', 'establishment']",37.5397367,127.0643169
