Name,Address,Types,Latitude,Longitude
Song-rim Restaurant,"79 Jayangbeonyeong-ro, Gwangjin-gu, Seoul, South Korea","restaurant, point_of_interest, food, establishment",37.5366898,127.0764847
율식당,"1층, 한라아파트 상가동, 9 Ttukseom-ro 35-gil, Gwangjin-gu, Seoul, South Korea","restaurant, point_of_interest, food, establishment",37.5351157,127.0704011
꿀곱창,"305, Achasan-ro, Gwangjin-gu, Seoul, South Korea","restaurant, point_of_interest, food, establishment",37.5384185,127.0766657
IKH몽골식당,"33-8 Guui-dong, Gwangjin-gu, Seoul, South Korea","restaurant, point_of_interest, food, establishment",37.5524065,127.0950751
마라전설 구의점,"1 층 103 호, 109 Jayang-ro, Gwangjin-gu, Seoul, South Korea","restaurant, point_of_interest, food, establishment",37.5373796,127.0830368
Milo on the go,"205호, 530 Cheonho-daero, Gwangjin-gu, Seoul, South Korea","restaurant, point_of_interest, food, establishment",37.55773800000001,127.0769937
Kondae Restaurant Minburg,"10-1 Hwayang-dong, Gwangjin-gu, Seoul, South Korea","restaurant, point_of_interest, food, establishment",37.5435023,127.0699004
혼다라멘,"1층 3호, 361-23번지 Gunja-dong, Gwangjin-gu, Seoul, South Korea","restaurant, point_of_interest, food, establishment",37.5480107,127.0725743
Bantianyao Kaoyu,"South Korea, Dongil-ro 20-gil, 106 KR 서울특별시 광진구 자양동 5-13 2층","restaurant, point_of_interest, food, establishment",37.53953,127.0692037
Minjeong Restaurant,"232-35 Jayang-dong, Gwangjin-gu, Seoul, South Korea","restaurant, point_of_interest, food, establishment",37.5355362,127.0791195
Hoya,"South Korea, Seoul, Gwangjin-gu, Neungdong-ro 13-gil, 39 1층","restaurant, point_of_interest, food, establishment",37.5435023,127.0699004
Burrito In,"285-19 번지 지하층, 광장동 Gwangjin-gu, Seoul, South Korea","restaurant, point_of_interest, food, establishment",37.5478507,127.1050777
라라면옥,"1층 101호, 라라면옥, 28-2 Achasan-ro 49-gil, Gwangjin-gu, Seoul, South Korea","restaurant, point_of_interest, food, establishment",37.5380426,127.0844737
Jeongmyeon,"88 Neungdong-ro 13-gil, Gwangjin-gu, Seoul, South Korea","restaurant, point_of_interest, food, establishment",37.5455153,127.0686638
"Slow, Cali","1 층 104 호, 375 Achasan-ro, Gwangjin-gu, Seoul, South Korea","restaurant, point_of_interest, food, establishment",37.5370474,127.0843546
Hansigdang,"29 Dongil-ro 24-gil, Gwangjin-gu, Seoul, South Korea","restaurant, point_of_interest, food, establishment",37.54363379999999,127.0668279
강변역 포장마차 10호,"-dong, 546-3 구의제3동 Gwangjin-gu, Seoul, South Korea","restaurant, point_of_interest, food, establishment",37.5363488,127.0942508
Achasan Grandpa's Handmade Tofu,"324 Jayang-ro, Gwangjin-gu, Seoul, South Korea","restaurant, point_of_interest, food, establishment",37.5540757,127.094143
kondae japanese restaurant ohyoumedang,"105 Dongil-ro 20-gil, Gwangjin-gu, Seoul, South Korea","restaurant, point_of_interest, food, establishment",37.53975519999999,127.0693416
Sushi Gallery,"-dong, 229-45 구의제1동 Gwangjin-gu, Seoul, South Korea","restaurant, point_of_interest, food, establishment",37.5442456,127.0903841
Bistro The Peppercorn,"44 Jayang-ro 22-gil, Gwangjin-gu, Seoul, South Korea","restaurant, food, point_of_interest, establishment",37.539578,127.0858161
서울간 촌닭,"8 Cheonho-daero 102-gil, Gwangjin-gu, Seoul, South Korea","restaurant, food, point_of_interest, establishment",37.5587064,127.074031
Cafe 4B,"5-99 Hwayang-dong, Gwangjin-gu, Seoul, South Korea","restaurant, food, point_of_interest, establishment",37.5413173,127.0707177
더젊은족발건대점,"31, Dongil-ro 22-gil, Gwangjin-gu, Seoul, South Korea","restaurant, food, point_of_interest, establishment",37.5422223,127.0660432
보배반점 구의점,"234-5 Guui-dong, Gwangjin-gu, Seoul, South Korea","restaurant, food, point_of_interest, establishment",37.5443373,127.086601
Moliseu,"66-70 구의제2동 Gwangjin-gu, Seoul, South Korea","restaurant, food, point_of_interest, establishment",37.5454233,127.0882887
Kobako,"18-40 Neung-dong, Gwangjin-gu, Seoul, South Korea","restaurant, food, point_of_interest, establishment",37.5469937,127.0820764
래빗홀 버거 Rabbithole Burger,"424, Gwangnaru-ro, Gwangjin-gu, Seoul, South Korea","restaurant, food, point_of_interest, establishment",37.5460307,127.0765504
라면 킹,"1층, 진's살롱 Gwangjin-gu, Seoul, South Korea","restaurant, food, point_of_interest, establishment",37.5599252,127.083958
Gwiepoomchan,"2층, 재성빌딩, 192 Achasan-ro, Gwangjin-gu, Seoul, South Korea","restaurant, food, point_of_interest, establishment",37.5415866,127.0649297
요리하는 원숭이,"126-1 번지 1층, Junggok-dong, Gwangjin-gu, Seoul, South Korea","restaurant, food, point_of_interest, establishment",37.5592648,127.0863622
숯불부자곱창,"48 Achasan-ro 33-gil, Hwayang-dong, Gwangjin-gu, Seoul, South Korea","restaurant, food, point_of_interest, establishment",37.5423628,127.0709102
몽골맛 - 아이락하우스 (AiragHouse),"Seoul, Gwangjin-gu, Gueui-dong, 54-20 3th floor 서울특별시 광진구 천호대로, 681 3층, Gwangjin-gu, Seoul, South Korea","restaurant, food, point_of_interest, establishment",37.5504465,127.090946
Seo-book Noodle,"199-1 Jayang-ro, Gwangjin-gu, Seoul, South Korea","restaurant, food, point_of_interest, establishment",37.5453506,127.0853236
심야식당7925,"79-25번지 Guui-dong, Gwangjin-gu, Seoul, South Korea","restaurant, food, point_of_interest, establishment",37.5477465,127.0879741
고순당,"1 층, 176 Achasan-ro 78-gil, Gwangjin-gu, Seoul, South Korea","restaurant, food, point_of_interest, establishment",37.5478112,127.1081216
Papavalley Pizza,"호 스타시티쇼핑몰, South Korea 자양동 227-7, 44 번지 하동 1층, Gwangjin-gu, Seoul, South Korea","restaurant, food, point_of_interest, establishment",37.5388401,127.0715739
Best Meat Restaurant at Seoul,"-dong,, 199-8 구의제3동, Gwangjin-gu, Seoul, South Korea","restaurant, food, point_of_interest, establishment",37.540338,127.095172
"셰프노리(CHEF,nori)","5 Gunja-ro, Seoul, South Korea","restaurant, food, point_of_interest, establishment",37.543936,127.071792
배달의쌀국수건대점,"South Korea, KR 서울특별시 광진구 구의동 253-19번지 1층 104동 B호 센트럴빌","restaurant, food, point_of_interest, establishment",37.544718,127.0831925
도톰카츠,"265 Jayang-ro, Gwangjin-gu, Seoul, South Korea","restaurant, food, point_of_interest, establishment",37.5499132,127.0903394
브런치 파스타 37.5 광진점,"South Korea, Achasan-ro 76ga-gil, 5 KR 서울특별시 광진구 광장동 322-6 1층","restaurant, food, point_of_interest, establishment",37.5472686,127.1077578
라이트잇,"South Korea, 우측 번지 1층 66-111 KR 서울특별시 광진구 구의동 1호","restaurant, food, point_of_interest, establishment",37.5453896,127.0877765
츄니식당,"46 Gwangnaru-ro 36-gil, Gwangjin-gu, Seoul, South Korea","restaurant, food, point_of_interest, establishment",37.5429343,127.08599
가현스시,"232-83 Guui-dong, Gwangjin-gu, Seoul, South Korea","restaurant, food, point_of_interest, establishment",37.5438865,127.0866982
채육식당 광진점,"South Korea, Seoul, Gwangjin-gu, Neungdong-ro 17-gil, 18 2 층","restaurant, food, point_of_interest, establishment",37.546527,127.0725452
심야식당쿠난,"168 Gunja-ro, Gwangjin-gu, Seoul, South Korea","restaurant, food, point_of_interest, establishment",37.555721,127.0774451
당근케이터링,"South Korea, Seoul, Gwangjin-gu, Jayang-ro, 177 1층","restaurant, food, point_of_interest, establishment",37.54341970000001,127.0844028
Myongwolgwan,"South Korea, Seoul, Gwangjin-gu, Walkerhill-ro, 177 광장동 워커힐로 177 광진구 서울특별시 KR 04963","restaurant, food, point_of_interest, establishment",37.552963,127.1104666
현대정육점식당,"79-13 Guui-dong, Gwangjin-gu, Seoul, South Korea","restaurant, food, point_of_interest, establishment",37.5483723,127.0886537
Pijaaen,"187 Jayang-ro, Gwangjin-gu, Seoul, South Korea","restaurant, food, point_of_interest, establishment",37.5443271,127.0847284
엄마돈가스,"South Korea, 구의 번지 1층 66-25 KR 서울특별시 광진구 구의동 자이르네 120호","restaurant, food, point_of_interest, establishment",37.5454274,127.0887028
허허왕갈비,"66-82 Guui-dong, Gwangjin-gu, Seoul, South Korea","restaurant, food, point_of_interest, establishment",37.5452338,127.0876539
Lala,"South Korea, Seoul, Gwangjin-gu, Guui-dong, 번지 1층 79-27","restaurant, food, point_of_interest, establishment",37.5478038,127.0878149
Dalm,"South Korea, Seoul, Gwangjin-gu, Guui-dong, 78-8번지 1층","restaurant, food, point_of_interest, establishment",37.5489614,127.0892935
허영회 초밥&참치,"229-45 Guui-dong, Gwangjin-gu, Seoul, South Korea","restaurant, food, point_of_interest, establishment",37.5442456,127.0903841
목포해물,"237-5 Guui-dong, Gwangjin-gu, Seoul, South Korea","restaurant, food, point_of_interest, establishment",37.5426508,127.0857243
Mippeum,"11 Jayang-ro 28-gil, 구의제1동 Gwangjin-gu, Seoul, South Korea","restaurant, food, point_of_interest, establishment",37.5423593,127.0849674
스낵박스,"South Korea, Seoul, Gwangjin-gu, Neung-dong, 18번지, Seoul Children's Grand Park, 1층","restaurant, food, point_of_interest, establishment",37.549363,127.0818126
Jung-Guggwan,"South Korea, Seoul, Gwangjin-gu, Gwangnaru-ro, 530 1층","restaurant, food, point_of_interest, establishment",37.5446857,127.0882054
